category,class,comfort,convenience,economic vitality,elder friendliness,livability,mobility,romance,safety
government & public infrastructure,administrative unit,0.3475361764431,0.47655436396598816,0.3823049068450928,0.4382951557636261,0.3576510548591614,0.29299330711364746,0.1408902108669281,0.39889732003211975
education,adult education,0.2528717815876007,0.3003495931625366,0.2859823405742645,0.37250158190727234,0.2760344445705414,0.20704583823680878,0.18582108616828918,0.2037673443555832
businesses & manufacturing,agriculture and forestry and horticulture,0.32968670129776,0.42412200570106506,0.38831955194473267,0.35908812284469604,0.3476615846157074,0.29884859919548035,0.2676478922367096,0.22845911979675293
transportation,airport,0.45619267225265503,0.48014527559280396,0.4558123052120209,0.36637184023857117,0.40789419412612915,0.4519484341144562,0.3584376871585846,0.37632042169570923
travel & attractions,amusement park,0.3479882776737213,0.30234554409980774,0.30229055881500244,0.25383785367012024,0.2891925573348999,0.262028306722641,0.4308939278125763,0.23797987401485443
travel & attractions,ancient artifacts,0.27699926495552063,0.2261923849582672,0.2504705488681793,0.2354801446199417,0.24079379439353943,0.20723487436771393,0.4320276379585266,0.11553545296192169
travel & attractions,apartment hotel,0.5262159705162048,0.5090687870979309,0.3937172591686249,0.386870801448822,0.41680458188056946,0.2745200991630554,0.45330601930618286,0.1981985718011856
education,aquarium,0.31120726466178894,0.2535867691040039,0.27435624599456787,0.20317307114601135,0.265198290348053,0.185698464512825,0.3580566942691803,0.12226904183626175
social & entertainment,art gallery,0.30722299218177795,0.25828325748443604,0.2688925266265869,0.22366350889205933,0.23211471736431122,0.19577714800834656,0.41523417830467224,0.1109112799167633
education,art group,0.22981728613376617,0.22452916204929352,0.2501735985279083,0.25947317481040955,0.21585379540920258,0.18643459677696228,0.26624539494514465,0.14410650730133057
travel & attractions,attractions,0.44112303853034973,0.38138869404792786,0.39654091000556946,0.32576435804367065,0.37131407856941223,0.3876391649246216,0.548162579536438,0.3028545677661896
social & entertainment,bar,0.3381216526031494,0.2870151996612549,0.27288398146629333,0.22296391427516937,0.23467905819416046,0.15774857997894287,0.41591936349868774,0.12335197627544403
social & entertainment,bath massage,0.49097418785095215,0.4569726288318634,0.3722907304763794,0.42513564229011536,0.38015034794807434,0.24708116054534912,0.4060363173484802,0.2110549509525299
travel & attractions,beach,0.47209954261779785,0.34577077627182007,0.3290786147117615,0.2811151444911957,0.3372962772846222,0.20592786371707916,0.471095472574234,0.17200641334056854
travel & attractions,botanical garden,0.4088899791240692,0.31345632672309875,0.3563728928565979,0.30480706691741943,0.363241583108902,0.2288486659526825,0.519392192363739,0.17760689556598663
